Extension Number,Name,Publisher,Extension ID,Source Code,Downloads,ok,critical,high,medium,low,total vul,vulnerabilities
122,C/C++ Runner,franneck94,0f4eac03-b4ec-4a55-bce1-deb41fde32ab,https://github.com/franneck94/vscode-c-cpp-runner.git,3094251,False,0,0,1,0,1,Prototype Pollution
123,Korean Language Pack for Visual Studio Code,Microsoft,7c15d326-cfdd-4932-9409-634b512daebe,https://github.com/Microsoft/vscode-loc.git,3090426,False,0,0,0,0,0,
124,Live Preview,Microsoft,4eae7368-ec63-429d-8449-57a7df5e2117,https://github.com/microsoft/vscode-livepreview.git,3033339,True,0,0,0,0,0,
125,PHP IntelliSense,Damjan Cvetko,3eddb68d-a5dd-43fb-be03-6f508d98fe97,https://github.com/zobo/vscode-php-intellisense.git,2920075,True,0,0,0,0,0,
126,Laravel Blade Snippets,Winnie Lin,3b58a227-618a-4b57-a06b-6984a2a8d1ba,https://github.com/onecentlin/laravel-blade-snippets-vscode.git,2900293,True,0,0,0,0,0,
127,gitignore,CodeZombie,3e891cf9-53cb-49a3-8d01-8f0b1f0afb29,https://github.com/CodeZombieCH/vscode-gitignore.git,2897231,True,0,0,0,0,0,
128,"Bootstrap 4, Font awesome 4, Font Awesome 5 Free & Pro snippets",Ashok Koyi,2a658c1b-308a-41e8-805a-fc8abda483bc,https://github.com/1tontech/bootstrap4-snippets.git,2803843,True,0,0,0,0,0,
129,TSLint (deprecated),Microsoft,513cf511-3894-4ee2-8c34-13ab83ddfd37,https://github.com/Microsoft/vscode-tslint.git,2798157,True,0,0,0,0,0,
130,Spring Initializr Java Support,Microsoft,a205ad34-542b-4c67-a9ed-f645103ad9c0,https://github.com/Microsoft/vscode-spring-initializr.git,2796652,True,0,0,0,0,0,
131,JavaScript and TypeScript Nightly,Microsoft,15305aca-2588-4ca0-8147-ab2c64730b82,https://github.com/microsoft/vscode-typescript-next.git,2791944,True,0,0,0,0,0,
132,Error Lens,Alexander,9d8c32ab-354c-4daf-a9bf-20b633734435,https://github.com/usernamehw/vscode-error-lens.git,2768494,True,0,0,0,0,0,
133,Thunder Client,Thunder Client,2fd56207-78ef-49d4-95d2-9b801eee4dbf,https://github.com/rangav/thunder-client-support.git,2765169,False,0,0,0,0,0,
134,HTML Boilerplate,sidthesloth,f45dc69c-8d62-4ea1-b01f-3ab90854acb6,https://github.com/sidthesloth92/vsc_html5_boilerplate.git,2705115,True,0,0,0,0,0,
135,Test Explorer UI,Holger Benl,ff96f1b4-a4b8-45ef-8ecf-c232c0cb75c8,https://github.com/hbenl/vscode-test-explorer.git,2696102,True,0,0,0,0,0,
136,LaTeX Workshop,James Yu,61d03280-3919-4dd1-bce1-178ca21fdeaf,https://github.com/James-Yu/LaTeX-Workshop.git,2650047,True,0,0,0,0,0,
137,Babel JavaScript,Michael McDermott,dd5a2c83-ad8c-4839-a529-0644e5acb646,https://github.com/mgmcdermott/vscode-language-babel.git,2647699,True,0,0,0,0,0,
138,German Language Pack for Visual Studio Code,Microsoft,bf2ad3a8-0475-49ea-8851-4e9e8074a4f2,https://github.com/Microsoft/vscode-loc.git,2607097,False,0,0,0,0,0,
139,Microsoft Edge Tools for VS Code,Microsoft,11cb120c-f665-45bc-a21e-6de8a5685850,https://github.com/Microsoft/vscode-edge-devtools.git,2572319,True,0,0,0,0,0,
140,Peacock,John Papa,5a7017bf-c571-4d77-b902-6e56b16f539a,https://github.com/johnpapa/vscode-peacock.git,2540171,True,0,0,0,0,0,
141,Winter is Coming Theme,John Papa,fd6d3dc6-b307-4589-82a6-78e2afec3d77,https://github.com/johnpapa/vscode-winteriscoming.git,2488060,True,0,0,0,0,0,
142,Spring Boot Tools,VMware,0efda145-8595-4ff7-98ef-1e3abc5e5757,https://github.com/spring-projects/sts4.git,2462959,False,0,0,0,0,0,
143,Live Sass Compiler,Ritwick Dey,ad94b437-b5a7-4249-bf5f-df472ae0d084,https://github.com/ritwickdey/vscode-live-sass-compiler.git,2456361,False,0,0,5,0,5,Regular Expression Denial of Service (ReDoS); Regular Expression Denial of Service (ReDoS); Regular Expression Denial of Service (ReDoS); Improper Input Validation; Improper Input Validation
144,Material Theme,Equinusocio,45bfc9eb-5e03-487f-bffe-315fa6881d6a,https://github.com/material-theme/vsc-material-theme.git,2414159,False,0,5,3,1,9,Regular Expression Denial of Service (ReDoS); Regular Expression Denial of Service (ReDoS); Regular Expression Denial of Service (ReDoS); Regular Expression Denial of Service (ReDoS); Regular Expression Denial of Service (ReDoS); Prototype Pollution; Prototype Pollution; Information Exposure; Denial of Service
145,Data Workspace,Microsoft,88e082b7-d289-4c59-bde4-4c61e0280428,https://github.com/Microsoft/azuredatastudio.git,2386447,False,1,0,5,1,7,Cross-site Scripting (XSS); Regular Expression Denial of Service (ReDoS); Improper Input Validation; Validation Bypass; Access Restriction Bypass; Regular Expression Denial of Service (ReDoS); CRITICAL! Arbitrary Code Execution
146,jshint,Microsoft,82dfe17d-bb64-404e-bcc5-f9803f7ab5d5,https://github.com/Microsoft/vscode-jshint.git,2354473,True,0,0,0,0,0,
